"ID","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","CITY","STATE","ZIP","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","SOURCE","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","TARGET"
3648,"MLS Listing",NA,"Townhouse","Miami","FL","33196",3,2.5,"Kendall Square",1740,NA,2014,286,193,33,"Active","","","MARMLS","N","Y","25.7"," -80.5","TRUE"
3649,"MLS Listing",NA,"Mobile/Manufactured Home","San Clemente","CA","92672",3,2,"SN - San Clemente North",1350,NA,2001,331,148,NA,"Active","","","CRMLS","N","Y","33.4","-117.6","FALSE"
3650,"MLS Listing",NA,"Single Family Residential","Fairfax","VA","22032",4,2.5,"Hickory Farms",1736,13149,1981,15,346,17,"Active","","","MRIS","N","Y","38.8"," -77.3","TRUE"
3651,"MLS Listing",NA,"Condo/Co-op","Ladera Ranch","CA","92694",2,2.5,"LD - Ladera Ranch",1316,NA,2002,15,356,434,"Active","March-10-2018 01:00 PM","March-10-2018 04:00 PM","CRMLS","N","Y","33.6","-117.6","TRUE"
3652,"MLS Listing",NA,"Vacant Land","La Habra","CA","90631",NA,NA,"87 - La Habra",NA,4356,NA,58,NA,NA,"Active","","","CRMLS","N","Y","33.9","-117.9","FALSE"
3653,"MLS Listing",NA,"Single Family Residential","Miami","FL","33129",4,4,"Brickell Hammock Un 1",4879,7256,2006,16,510,NA,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3654,"MLS Listing",NA,"Single Family Residential","Atlanta","GA","30311-4207",2,1,"",NA,9147,1990,54,NA,NA,"Active","","","GAMLS","N","Y","33.7"," -84.5","FALSE"
3655,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33131",2,2.5,"One Tequesta Point Condo",1410,NA,1995,307,418,679,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3656,"MLS Listing",NA,"Condo/Co-op","Great Neck","NY","11021",1,1,"Great Neck Terrace",NA,NA,1950,33,NA,NA,"Active","","","MLSLI","N","Y","40.8"," -73.7","FALSE"
3657,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33131",3,2.5,"Courvoisier Courts",1655,NA,1997,254,526,1215,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3658,"MLS Listing",NA,"Townhouse","Baltimore","MD","21223",3,1,"Carrollton Ridge",NA,NA,1920,748,NA,NA,"Active","","","MRIS","N","Y","39.3"," -76.6","FALSE"
3659,"MLS Listing",NA,"Single Family Residential","Pinecrest","FL","33156",3,3,"Hillmont",1991,15000,1957,124,391,NA,"Active","","","MARMLS","N","Y","25.7"," -80.3","TRUE"
3660,"MLS Listing",NA,"Condo/Co-op","Atlanta","GA","30363",2,2.5,"The Atlantic",1801,1742,2009,22,319,NA,"Active","","","GAMLS","N","Y","33.8"," -84.4","TRUE"
3661,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33145",1,1,"Coral Plaza",605,NA,2002,114,364,280,"Active","","","MARMLS","N","Y","25.7"," -80.3","FALSE"
3662,"New Construction Plan",NA,"Single Family Residential","Chapel Hill","NC","27516",3,2.5,"Briar Chapel",2735,NA,NA,NA,137,NA,"Active","","","NewHomeSource.com","N","Y","35.8"," -79.1","TRUE"
3663,"MLS Listing",NA,"Townhouse","Baltimore","MD","21213",3,1,"Belair/edison",1640,1742,1928,188,73,NA,"Active","","","MRIS","N","Y","39.3"," -76.6","FALSE"
